Execution Time,Symbol,Price,Size,Liquidity Provider,Liquidity Taker,LP Order ID,LT Order ID,LP Order Type,LT Order Type,LP Order Time,LT Order Time,Fee,,,
46:46.3,UNH,242.82,1,Hidden,winwin,Hidden,4ac0a910-e79f-4262-8951-a858a34731de,Buy,Sell,46:25.0,46:46.3,0.3,,,
46:46.3,UNH,242.82,1,Hidden,winwin,Hidden,4ac0a910-e79f-4262-8951-a858a34731de,Buy,Sell,46:26.3,46:46.3,0.3,,,
46:46.3,WMT,104.53,4,Hidden,winwin,Hidden,d550cff8-28fe-4c12-88ba-47763116d1a0,Buy,Sell,45:59.2,46:46.3,1.2,,,
46:46.3,DWDP,75.97,6,Hidden,winwin,Hidden,d37a1da9-17fc-441b-8caa-6629c5838cf5,Buy,Sell,46:11.5,46:46.3,1.8,,,
46:46.3,TRV,137.74,1,Hidden,winwin,Hidden,faefcd56-a533-404c-9b93-0fec9f9aa3ff,Buy,Sell,44:44.3,46:46.3,0.3,,,
46:46.3,TRV,137.74,2,Hidden,winwin,Hidden,faefcd56-a533-404c-9b93-0fec9f9aa3ff,Buy,Sell,44:44.3,46:46.3,0.6,,,
46:46.3,HD,200.7,2,Hidden,winwin,Hidden,d0912524-8959-41a2-84d9-6549f1ba0d0e,Buy,Sell,46:33.7,46:46.3,0.6,,,
46:46.3,V,122.72,1,Hidden,winwin,Hidden,d4240f1b-3879-41e4-89fd-69786c27ba74,Buy,Sell,46:24.0,46:46.3,0.3,,,
46:46.3,V,122.72,3,Hidden,winwin,Hidden,d4240f1b-3879-41e4-89fd-69786c27ba74,Buy,Sell,46:24.0,46:46.3,0.9,,,
46:46.3,MMM,247.71,1,Hidden,winwin,Hidden,87cd0367-ee9b-4d7a-a2be-0d2bf5955bce,Buy,Sell,46:44.3,46:46.3,0.3,,,
46:46.3,MMM,247.7,1,Hidden,winwin,Hidden,87cd0367-ee9b-4d7a-a2be-0d2bf5955bce,Buy,Sell,26:52.4,46:46.3,0.3,,,
46:46.3,JPM,112.87,4,Hidden,winwin,Hidden,562b2135-463b-4e31-9fd9-b8cf236256d5,Buy,Sell,46:31.8,46:46.3,1.2,,,
46:46.3,WBA,76.36,6,Hidden,winwin,Hidden,ba192ed0-24a2-46f3-a63b-8d9c7dcd1f54,Buy,Sell,41:24.4,46:46.3,1.8,,,
46:46.3,UTX,135.66,1,Hidden,winwin,Hidden,ea150297-167c-4a7b-b4d2-6bd73dd3e46d,Buy,Sell,44:42.6,46:46.3,0.3,,,
46:46.3,UTX,135.66,1,Hidden,winwin,Hidden,ea150297-167c-4a7b-b4d2-6bd73dd3e46d,Buy,Sell,44:42.6,46:46.3,0.3,,,
46:46.3,UTX,135.66,1,Hidden,winwin,Hidden,ea150297-167c-4a7b-b4d2-6bd73dd3e46d,Buy,Sell,44:42.6,46:46.3,0.3,,,
46:46.3,VZ,51.85,9,Hidden,winwin,Hidden,b64e3954-1ea4-4e96-9fd3-989b2626b3fd,Buy,Sell,46:32.7,46:46.3,2.7,,,
46:46.3,XOM,87.09,5,Hidden,winwin,Hidden,95255159-9a76-4e2b-b256-510c3ed81ab1,Buy,Sell,44:30.3,46:46.3,1.5,,,
